week,covid_unified,vaccine_unified,respiratory_disease_unified,covid_testing_unified,quarantine_unified,pneumonia_unified,asthma_unified,lungCancer_unified,cysticFibrosis_unified,vaccine_solo,respiratory_disease_solo,covid_testing_solo,quarantine_solo,pneumonia_solo,asthma_solo,lungCancer_solo,cysticFibrosis_solo
2019-11-25,0,1,0.5,0.5,0.5,1,0.5,0.5,0.5,3,21,0.5,1,37,30,49,67
2019-12-02,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,3,20,0.5,1,37,28,48,73
2019-12-09,0.5,1,0.5,0,0.5,1,0.5,0.5,0.5,3,19,0,1,39,30,45,65
2019-12-16,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,2,11,0,1,51,26,42,51
2019-12-23,0,1,0.5,0,0.5,1,0.5,0.5,0.5,3,12,0,1,48,29,44,65
2019-12-30,0,1,0.5,0,0.5,1,0.5,0.5,0.5,3,21,0.5,1,49,29,46,60
2020-01-06,0.5,1,0.5,0,0.5,1,0.5,0.5,0.5,3,21,0.5,1,42,31,49,63
2020-01-13,0.5,1,0.5,0,0.5,1,0.5,0.5,0.5,3,24,0,2,53,29,49,65
2020-01-20,0.5,1,0.5,0,0.5,1,0.5,0.5,0.5,4,30,0,4,57,32,52,67
2020-01-27,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,4,30,0,5,51,32,100,62
2020-02-03,1,1,0.5,0.5,0.5,1,0.5,0.5,0.5,4,25,0.5,4,45,31,52,64
2020-02-10,1,1,0.5,0.5,0.5,1,0.5,0.5,0.5,4,28,0.5,3,51,33,51,67
2020-02-17,4,1,0.5,0.5,0.5,1,0.5,0.5,0.5,6,40,0.5,6,47,35,55,71
2020-02-24,7,1,0.5,0.5,1,1,1,0.5,0.5,6,45,0.5,9,58,42,53,68
2020-03-02,25,2,0.5,0.5,3,1,1,0.5,0.5,10,70,2,34,79,59,49,65
2020-03-09,71,3,0.5,1,8,2,1,0.5,0.5,15,70,6,100,100,100,40,67
2020-03-16,81,3,0.5,1,7,1,1,0.5,0.5,13,60,6,84,90,83,38,70
2020-03-23,80,3,0.5,1,5,1,1,0.5,0.5,12,51,5,62,70,56,39,65
2020-03-30,72,2,0.5,1,4,1,1,0.5,0.5,11,39,5,48,53,48,36,60
2020-04-06,66,2,0.5,1,4,1,1,0.5,0.5,10,40,5,45,39,42,38,64
2020-04-13,61,2,0.5,1,3,1,1,0.5,0.5,11,39,6,43,35,41,36,78
2020-04-20,59,2,0.5,1,3,1,0.5,0.5,0.5,11,36,7,37,32,38,39,66
2020-04-27,55,3,0.5,1,2,0.5,0.5,0.5,0.5,12,38,7,31,29,38,38,63
2020-05-04,55,2,0.5,1,2,0.5,0.5,0.5,0.5,10,35,8,30,27,36,36,57
2020-05-11,48,3,0.5,1,2,0.5,0.5,0.5,0.5,12,31,7,26,25,34,41,57
2020-05-18,46,2,0.5,1,2,0.5,0.5,0.5,0.5,8,28,7,24,23,30,39,49
2020-05-25,42,2,0.5,1,2,0.5,0.5,0.5,0.5,7,28,7,20,23,32,36,50
2020-06-01,41,2,0.5,1,1,0.5,0.5,0.5,0.5,8,26,9,19,23,30,40,48
2020-06-08,44,2,0.5,1,1,0.5,0.5,0.5,0.5,9,27,12,18,22,32,40,50
2020-06-15,49,2,0.5,2,2,0.5,0.5,0.5,0.5,9,27,21,22,24,32,37,52
2020-06-22,52,2,0.5,3,2,0.5,0.5,0.5,0.5,10,26,25,26,24,31,35,52
2020-06-29,53,2,0.5,3,2,1,0.5,0.5,0.5,10,25,25,22,33,32,39,45
2020-07-06,52,4,0.5,3,2,0.5,0.5,0.5,0.5,17,27,23,22,29,36,38,48
2020-07-13,51,3,0.5,2,2,0.5,0.5,0.5,0.5,14,23,19,22,29,33,37,48
2020-07-20,52,3,0.5,2,2,0.5,0.5,0.5,0.5,13,24,18,26,25,31,37,50
2020-07-27,48,3,0.5,2,2,0.5,0.5,0.5,0.5,11,22,17,23,25,28,36,48
2020-08-03,45,4,0.5,2,2,0.5,0.5,0.5,0.5,18,21,15,26,24,28,75,44
2020-08-10,44,3,0.5,2,2,0.5,0.5,0.5,0.5,11,22,15,26,25,29,40,45
2020-08-17,42,2,0.5,1,2,0.5,0.5,0.5,0.5,10,26,13,22,23,28,39,46
2020-08-24,41,2,0.5,2,2,0.5,0.5,0.5,0.5,10,26,14,21,25,28,40,50
2020-08-31,44,2,0.5,2,2,0.5,0.5,0.5,0.5,11,29,14,20,25,30,41,53
2020-09-07,42,2,0.5,2,1,0.5,0.5,0.5,0.5,10,31,16,16,25,31,40,52
2020-09-14,43,2,0.5,2,1,0.5,0.5,0.5,0.5,10,33,14,16,26,30,38,54
2020-09-21,45,2,0.5,2,1,0.5,0.5,0.5,0.5,10,32,15,18,27,30,37,53
2020-09-28,49,2,0.5,2,1,0.5,0.5,0.5,0.5,9,42,17,16,29,33,40,54
2020-10-05,49,2,0.5,2,1,0.5,0.5,0.5,0.5,9,51,16,14,26,31,41,49
2020-10-12,50,2,0.5,2,1,0.5,0.5,0.5,0.5,9,49,17,14,29,30,47,49
2020-10-19,59,2,0.5,2,1,0.5,0.5,0.5,0.5,9,39,19,14,27,28,40,47
2020-10-26,52,2,0.5,2,1,0.5,0.5,0.5,0.5,8,32,21,11,24,28,35,44
2020-11-02,57,4,0.5,3,1,0.5,0.5,0.5,0.5,19,32,30,12,28,31,42,52
2020-11-09,63,4,0.5,4,1,0.5,0.5,0.5,0.5,17,34,37,14,29,29,42,56
2020-11-16,54,3,0.5,3,1,0.5,0.5,0.5,0.5,15,28,31,13,28,27,36,50
2020-11-23,53,5,0.5,3,1,0.5,0.5,0.5,0.5,21,34,29,15,29,29,37,55
2020-11-30,58,7,0.5,3,1,0.5,0.5,0.5,0.5,32,32,29,14,31,28,39,52
2020-12-07,59,9,0.5,4,1,0.5,0.5,0.5,0.5,39,28,32,13,31,27,36,46
2020-12-14,60,7,0.5,4,1,0.5,0.5,0.5,0.5,31,17,33,12,27,24,33,36
2020-12-21,67,8,0.5,4,1,0.5,0.5,0.5,0.5,36,17,33,12,30,26,34,37
2020-12-28,66,10,0.5,4,1,1,0.5,0.5,0.5,46,24,32,12,32,30,34,42
2021-01-04,67,14,0.5,3,1,0.5,0.5,0.5,0.5,63,26,27,11,30,30,34,44
2021-01-11,62,15,0.5,3,1,0.5,0.5,0.5,0.5,65,29,22,11,30,30,38,47
2021-01-18,56,15,0.5,2,1,0.5,0.5,0.5,0.5,65,27,18,12,29,29,40,49
2021-01-25,55,14,0.5,2,1,0.5,0.5,0.5,0.5,61,27,17,10,28,30,53,51
2021-02-01,52,14,0.5,2,1,0.5,0.5,0.5,0.5,62,27,15,11,26,31,40,53
2021-02-08,49,13,0.5,1,1,0.5,0.5,0.5,0.5,58,28,13,10,25,32,47,48
2021-02-15,52,15,0.5,1,1,0.5,0.5,0.5,0.5,67,26,13,10,25,33,43,53
2021-02-22,57,20,0.5,1,1,0.5,0.5,0.5,0.5,87,33,13,9,24,32,41,58
2021-03-01,59,21,0.5,1,1,0.5,0.5,0.5,0.5,94,28,13,9,24,32,41,52
2021-03-08,61,22,0.5,1,1,0.5,0.5,0.5,0.5,96,28,12,8,24,31,42,54
2021-03-15,64,20,0.5,1,1,0.5,0.5,0.5,0.5,87,31,13,10,27,31,40,54
2021-03-22,68,21,0.5,2,1,0.5,0.5,0.5,0.5,94,30,14,10,26,30,38,49
2021-03-29,68,21,0.5,2,1,0.5,0.5,0.5,0.5,95,34,14,10,28,30,38,47
2021-04-05,62,19,0.5,1,1,0.5,0.5,0.5,0.5,82,30,13,10,31,33,41,49
2021-04-12,65,16,0.5,1,1,1,0.5,0.5,0.5,72,33,12,10,33,32,38,49
2021-04-19,72,21,0.5,1,1,1,0.5,0.5,0.5,92,33,12,9,35,33,39,52
2021-04-26,63,17,0.5,1,1,1,0.5,0.5,0.5,75,32,11,9,33,35,42,51
2021-05-03,64,18,0.5,1,1,0.5,0.5,0.5,0.5,79,33,10,9,30,31,38,48
2021-05-10,60,17,0.5,1,1,0.5,0.5,0.5,0.5,76,31,9,8,29,31,43,46
2021-05-17,55,16,0.5,1,1,0.5,0.5,0.5,0.5,70,26,9,7,27,28,38,47
2021-05-24,58,16,0.5,1,1,0.5,0.5,0.5,0.5,71,27,8,8,24,28,36,46
2021-05-31,51,15,0.5,1,1,0.5,0.5,0.5,0.5,67,24,7,8,25,28,38,46
2021-06-07,49,13,0.5,1,1,0.5,0.5,0.5,0.5,58,26,8,8,24,28,38,46
2021-06-14,60,18,0.5,1,1,0.5,0.5,0.5,0.5,81,25,8,9,24,28,37,45
2021-06-21,54,13,0.5,1,1,0.5,0.5,0.5,0.5,59,22,9,8,23,26,36,41
2021-06-28,56,12,0.5,1,1,0.5,0.5,0.5,0.5,54,22,9,9,25,26,36,44
2021-07-05,62,13,0.5,1,1,0.5,0.5,0.5,0.5,56,23,12,8,26,27,37,39
2021-07-12,68,13,0.5,2,1,0.5,0.5,0.5,0.5,59,23,15,9,27,27,36,36
2021-07-19,63,15,0.5,2,1,0.5,0.5,0.5,0.5,65,24,18,9,28,28,37,40
2021-07-26,71,20,0.5,3,1,0.5,0.5,0.5,0.5,87,21,24,10,29,28,40,55
2021-08-02,68,16,0.5,3,1,1,0.5,0.5,0.5,71,23,27,10,32,28,36,54
2021-08-09,66,16,0.5,3,1,1,0.5,0.5,0.5,71,23,29,10,32,27,36,56
2021-08-16,64,16,0.5,3,1,1,0.5,0.5,0.5,72,21,30,10,35,28,33,47
2021-08-23,61,16,0.5,3,1,1,0.5,0.5,0.5,69,25,28,10,33,28,33,43
2021-08-30,56,13,0.5,3,1,1,0.5,0.5,0.5,59,27,26,8,31,29,36,46
2021-09-06,51,14,0.5,3,1,1,0.5,0.5,0.5,62,34,24,8,34,30,36,45
2021-09-13,46,12,0.5,2,1,1,0.5,0.5,0.5,53,43,22,8,32,29,37,48
2021-09-20,44,11,0.5,2,1,0.5,0.5,0.5,0.5,47,44,18,7,30,29,37,55
2021-09-27,42,10,0.5,2,1,1,0.5,0.5,0.5,42,42,18,7,32,29,41,46
2021-10-04,42,11,0.5,2,1,0.5,0.5,0.5,0.5,48,34,16,7,30,29,38,46
2021-10-11,39,11,0.5,2,0.5,0.5,0.5,0.5,0.5,48,36,15,6,30,30,38,47
2021-10-18,37,8,0.5,2,0.5,0.5,0.5,0.5,0.5,37,28,14,6,29,31,38,49
2021-10-25,39,9,0.5,2,0.5,0.5,0.5,0.5,0.5,40,33,15,6,30,30,39,55
2021-11-01,41,9,0.5,2,0.5,1,0.5,0.5,0.5,40,32,15,6,32,30,41,49
2021-11-08,43,9,0.5,2,0.5,1,0.5,0.5,0.5,39,30,16,6,32,30,42,53
2021-11-15,46,8,0.5,2,0.5,0.5,0.5,0.5,0.5,36,27,15,6,29,28,34,50
2021-11-22,53,10,0.5,2,1,1,0.5,0.5,0.5,43,32,20,9,35,31,39,54
2021-11-29,46,8,0.5,2,1,1,0.5,0.5,0.5,36,28,21,8,33,29,37,47
2021-12-06,69,13,0.5,3,1,1,0.5,0.5,0.5,59,30,30,9,34,27,35,43
2021-12-13,81,9,0.5,7,1,1,0.5,0.5,0.5,41,18,66,13,34,26,33,32
2021-12-20,95,8,0.5,11,2,1,0.5,0.5,0.5,36,16,100,22,42,26,32,35
2021-12-27,100,10,0.5,9,2,1,0.5,0.5,0.5,46,28,78,20,47,30,34,47
2022-01-03,88,9,0.5,6,1,1,0.5,0.5,0.5,41,29,53,16,43,31,35,47
2022-01-10,91,23,0.5,3,1,1,0.5,0.5,0.5,100,29,29,12,39,30,33,46
2022-01-17,57,6,0.5,2,1,1,0.5,0.5,0.5,26,33,19,9,38,31,30,52
2022-01-24,47,5,0.5,1,1,1,0.5,0.5,0.5,22,29,13,7,34,30,37,53
2022-01-31,41,5,0.5,1,1,1,0.5,0.5,0.5,21,34,10,7,32,31,38,56
2022-02-07,33,4,0.5,1,0.5,1,0.5,0.5,0.5,19,41,9,5,32,32,44,56
2022-02-14,29,4,0.5,1,0.5,0.5,0.5,0.5,0.5,16,40,8,5,28,33,41,58
2022-02-21,27,3,0.5,1,0.5,0.5,0.5,0.5,0.5,15,45,7,5,27,32,41,54
2022-02-28,24,3,0.5,1,0.5,0.5,0.5,0.5,0.5,13,45,7,4,27,31,40,54
2022-03-07,27,3,0.5,1,0.5,0.5,0.5,0.5,0.5,12,42,7,4,28,33,41,63
2022-03-14,26,3,0.5,1,0.5,0.5,0.5,0.5,0.5,13,40,7,4,29,33,41,51
2022-03-21,23,3,0.5,1,0.5,0.5,0.5,0.5,0.5,12,43,6,4,28,33,44,62
2022-03-28,22,3,0.5,1,0.5,0.5,0.5,0.5,0.5,12,45,6,3,29,33,43,100
2022-04-04,21,3,0.5,1,0.5,0.5,0.5,0.5,0.5,11,35,6,3,28,31,41,53
2022-04-11,21,3,0.5,1,0.5,0.5,0.5,0.5,0.5,12,40,6,4,30,32,45,59
2022-04-18,19,3,0.5,1,0.5,0.5,0.5,0.5,0.5,11,37,6,4,31,33,45,60
2022-04-25,18,2,0.5,1,0.5,0.5,0.5,0.5,0.5,10,35,6,4,28,33,44,64
2022-05-02,19,2,0.5,1,0.5,0.5,0.5,0.5,0.5,10,33,6,4,29,33,41,56
2022-05-09,18,2,0.5,1,0.5,0.5,0.5,0.5,0.5,10,33,7,4,30,31,40,52
2022-05-16,17,2,0.5,1,0.5,0.5,0.5,0.5,0.5,10,30,6,5,31,31,45,48
2022-05-23,17,2,0.5,1,0.5,1,0.5,0.5,0.5,9,29,6,4,32,29,36,48
2022-05-30,18,2,0.5,1,0.5,0.5,0.5,0.5,0.5,10,30,7,4,31,29,38,47
2022-06-06,17,2,0.5,1,0.5,0.5,0.5,0.5,0.5,10,32,5,4,30,31,37,55
2022-06-13,19,2,0.5,1,0.5,1,0.5,0.5,0.5,11,27,5,5,32,30,39,51
2022-06-20,21,2,0.5,1,0.5,0.5,0.5,0.5,0.5,10,23,6,5,30,28,34,49
2022-06-27,22,2,0.5,1,0.5,0.5,0.5,0.5,0.5,9,25,6,5,27,28,33,49
2022-07-04,23,3,0.5,1,0.5,0.5,0.5,0.5,0.5,11,24,6,5,28,29,38,44
2022-07-11,22,3,0.5,1,0.5,0.5,0.5,0.5,0.5,12,24,6,5,27,29,35,41
2022-07-18,18,3,0.5,1,0.5,0.5,0.5,0.5,0.5,12,27,5,4,26,27,38,39
2022-07-25,16,3,0.5,1,0.5,0.5,0.5,0.5,0.5,12,21,5,4,26,28,40,40
2022-08-01,13,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11,22,4,4,26,28,37,39
2022-08-08,13,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10,22,4,4,27,28,37,41
2022-08-15,12,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,9,28,3,3,27,29,37,41
2022-08-22,11,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,9,34,3,3,30,29,38,42
2022-08-29,11,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,9,41,3,3,30,28,36,48
2022-09-05,11,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10,49,2,3,31,32,42,49
2022-09-12,11,2,0.5,0.5,0.5,1,0.5,0.5,0.5,10,38,2,3,32,33,44,57
2022-09-19,10,2,0.5,0.5,0.5,1,0.5,0.5,0.5,10,36,2,2,32,32,40,50
2022-09-26,11,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,9,32,2,2,31,32,40,50
2022-10-03,11,2,0.5,0.5,0.5,1,0.5,0.5,0.5,10,37,2,2,35,32,44,49
2022-10-10,10,2,0.5,0.5,0.5,1,0.5,0.5,0.5,10,37,2,2,36,33,41,52
2022-10-17,10,2,0.5,0.5,0.5,1,0.5,0.5,0.5,9,35,2,2,36,32,41,51
2022-10-24,9,2,0.5,0.5,0.5,1,0.5,0.5,0.5,8,35,2,2,37,33,44,52
2022-10-31,9,2,0.5,0.5,0.5,1,0.5,0.5,0.5,8,38,2,2,38,33,43,48
2022-11-07,10,2,0.5,0.5,0.5,1,0.5,0.5,0.5,8,41,2,2,39,33,45,59
2022-11-14,9,1,0.5,0.5,0.5,1,0.5,0.5,0.5,6,30,1,2,37,31,38,48
2022-11-21,10,2,0.5,0.5,0.5,1,0.5,0.5,0.5,7,33,2,2,40,32,43,53
2022-11-28,10,2,0.5,0.5,0.5,1,0.5,0.5,0.5,7,35,2,2,40,32,44,56
2022-12-05,11,2,0.5,0.5,0.5,1,0.5,0.5,0.5,7,32,2,2,41,31,40,51
2022-12-12,13,2,0.5,0.5,0.5,1,0.5,0.5,0.5,7,22,2,2,39,29,34,42
2022-12-19,12,2,0.5,0.5,0.5,1,0.5,0.5,0.5,7,19,2,2,40,28,34,39
2022-12-26,10,2,0.5,0.5,0.5,1,0.5,0.5,0.5,7,23,2,2,37,29,38,47
2023-01-02,8,2,0.5,0.5,0.5,1,0.5,0.5,0.5,8,30,1,2,33,32,40,52
2023-01-09,7,2,0.5,0.5,0.5,1,0.5,0.5,0.5,7,30,1,1,32,31,46,51
2023-01-16,6,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,7,30,1,1,30,30,43,53
2023-01-23,6,2,0.5,0.5,0.5,1,0.5,0.5,0.5,7,32,1,1,33,32,47,66
2023-01-30,6,1,0.5,0.5,0.5,1,0.5,0.5,0.5,6,34,1,1,33,33,45,61
2023-02-06,6,1,0.5,0.5,0.5,1,0.5,0.5,0.5,6,31,1,1,32,30,42,60
2023-02-13,5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,6,34,1,1,34,33,43,57
2023-02-20,6,1,0.5,0.5,0.5,1,0.5,0.5,0.5,6,37,1,1,35,32,55,60
2023-02-27,5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,6,34,1,1,33,32,54,66
2023-03-06,5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,5,33,1,1,33,34,46,56
2023-03-13,5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,6,35,1,1,36,33,47,61
2023-03-20,5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,6,34,1,1,34,32,45,55
2023-03-27,5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,5,32,1,1,32,30,42,52
2023-04-03,5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,5,33,1,1,32,32,42,50
2023-04-10,6,1,0.5,0.5,0.5,1,0.5,0.5,0.5,6,35,1,1,32,32,44,52
2023-04-17,5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,6,36,1,1,30,34,43,57
2023-04-24,5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,6,35,1,1,30,33,43,55
2023-05-01,5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,34,0.5,1,30,31,42,47
2023-05-08,4,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,30,0.5,1,31,30,40,52
2023-05-15,4,1,0.5,0.5,0.5,1,0.5,0.5,0.5,5,29,0.5,1,32,30,39,56
2023-05-22,4,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,28,0.5,1,30,29,43,48
2023-05-29,3,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,25,0.5,1,30,32,45,45
2023-06-05,3,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,26,0.5,1,29,31,39,46
2023-06-12,3,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,26,0.5,1,29,29,40,41
2023-06-19,3,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,25,0.5,1,29,28,39,38
2023-06-26,3,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,23,0.5,1,28,27,39,38
2023-07-03,3,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,24,0.5,1,26,27,38,38
2023-07-10,3,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,25,0.5,1,25,25,39,37
2023-07-17,3,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,23,0.5,1,26,27,39,37
2023-07-24,3,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,22,0.5,1,25,27,36,35
2023-07-31,4,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,6,23,1,1,26,26,36,34
2023-08-07,5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,6,22,1,1,26,27,38,39
2023-08-14,6,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,6,23,1,1,25,28,38,36
2023-08-21,6,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,6,27,1,1,27,28,35,37
2023-08-28,6,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,6,31,1,1,27,28,35,42
2023-09-04,6,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,8,39,1,1,29,31,39,44
2023-09-11,6,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,9,43,1,1,31,32,42,49
2023-09-18,6,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10,37,1,1,31,31,42,46
2023-09-25,6,2,0.5,0.5,0.5,1,0.5,0.5,0.5,10,35,1,1,32,32,41,44
2023-10-02,5,2,0.5,0.5,0.5,1,0.5,0.5,0.5,8,34,1,1,34,33,40,45
2023-10-09,5,2,0.5,0.5,0.5,1,0.5,0.5,0.5,8,38,0.5,1,35,33,41,49
2023-10-16,4,2,0.5,0.5,0.5,1,0.5,0.5,0.5,7,35,0.5,1,34,32,42,50
2023-10-23,4,1,0.5,0.5,0.5,1,0.5,0.5,0.5,6,32,0.5,1,35,32,45,55
2023-10-30,4,1,0.5,0.5,0.5,1,0.5,0.5,0.5,6,34,0.5,1,36,34,45,55
2023-11-06,4,1,0.5,0.5,0.5,1,0.5,0.5,0.5,6,36,0.5,1,39,35,47,49
2023-11-13,4,1,0.5,0.5,0.5,1,0.5,0.5,0.5,5,61,0.5,1,47,31,37,43
2023-11-20,5,2,0.5,0.5,0.5,1,0.5,0.5,0.5,7,100,1,1,66,32,42,52
2023-11-27,5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,6,83,1,1,65,33,43,54
2023-12-04,6,1,0.5,0.5,0.5,1,0.5,0.5,0.5,6,44,1,1,48,33,49,55
2023-12-11,8,1,0.5,0.5,0.5,1,0.5,0.5,0.5,6,28,1,1,45,29,41,42
2023-12-18,7,1,0.5,0.5,0.5,1,0.5,0.5,0.5,4,20,1,1,45,28,34,34
2023-12-25,6,1,0.5,0.5,0.5,1,0.5,0.5,0.5,5,24,1,1,43,29,35,63
2024-01-01,5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,5,30,1,1,42,31,41,68
2024-01-08,4,1,0.5,0.5,0.5,1,0.5,0.5,0.5,4,21,0.5,1,36,31,38,53
